303.912172856,288.912172856
303.912172856,288.912172856
162.830343073,147.830343073
303.912172856,288.912172856
172.335527346,157.335527346
162.830343073,147.830343073
163.830343073,148.830343073
303.912172856,288.912172856
303.912172856,288.912172856
162.830343073,147.830343073
303.912172856,288.912172856
162.830343073,147.830343073
162.830343073,147.830343073
162.830343073,147.830343073
162.830343073,147.830343073
303.912172856,288.912172856
158,143
162.830343073,147.830343073
162.110140222,147.110140222
162.830343073,147.830343073
150.806086428,135.806086428
162.830343073,147.830343073
162.110140222,147.110140222
152.116086428,137.116086428
163.110140222,148.110140222
162.110140222,147.110140222
162.110140222,147.110140222
452.418259284,437.418259284
162.110140222,147.110140222
452.418259284,437.418259284
172.335527346,157.335527346
166.683867344,151.683867344
